source,relation,target,source_type,target_type
mass spectrometry,usedIn_ResearchActivity_investigates,optical emission,Diagnostic Device,Physical Effect
V,unit_of,ignition voltage,Unit,Quantity
apparatus,measures,current,Diagnostic Device,Quantity
experiment,hasPlasmaSource_generates,striations,Scientific Experiment,Plasma Study
vertically movable lens,measures_hasUnit,mm,Diagnostic Device,Unit
ICCD images,investigates,discharge propagation,Scientific Experiment,Physical Effect
unit of time,unit_of,power density,Unit,Quantity
non -thermal,hasApplicationField,-destructively decontaminating sensitive surfaces,Plasma Study,Application Field
flow rate,hasUnit,cm 3 min,Quantity,Unit
Tektronix P6015A,measures,rise times,Diagnostic Device,Quantity
CCS measurements,usesDevice_Device_measures,excitation energy,Scientific Experiment,Quantity
oxygen,used_in,MDs,Medium,Plasma Source
temporal resolutions,hasPlasmaSource,DBDs,Scientific Experiment,Plasma Source
low pressure,generatedBy_measures,voltage,Plasma Study,Quantity
DBDs,uses,molecular gases,Plasma Source,Medium
current peak,hasUnit,A,Quantity,Unit
observed,usesConfiguration,volume DBD,Scientific Experiment,Configuration
pre -acceleration stage,measures,energies,Diagnostic Device,Quantity
1 vol N2O in N2,used_in,APTD,Medium,Plasma Source
circuit,measures,strength,Diagnostic Device,Quantity
measurement of detached electrons,usesDevice_Device_measures,dimensions,Scientific Experiment,Quantity
tube cell,measures,flow,Diagnostic Device,Quantity
electrodes,measures,radial magnetic field,Diagnostic Device,Quantity
electronic circuit board,measures,power,Diagnostic Device,Quantity
Abstract Dielectric barrier discharges,measures,rise time,Plasma Source,Quantity
voltage variation,usesDevice_Device_measures,voltage,Scientific Experiment,Quantity
vol,unit_of,emission intensity,Unit,Quantity
anode,usedIn_ResearchActivity_hasPlasmaSource,electrical,Diagnostic Device,Plasma Source
plasma generating space chamber,usedIn_ResearchActivity_investigates,electron cyclotron resonance,Diagnostic Device,Physical Effect
Electrical measurements,usesDevice_Device_measures,voltage,Scientific Experiment,Quantity
microwave interferometry,investigates,photodetachment,Scientific Experiment,Physical Effect
generator,usedIn_ResearchActivity_hasPlasmaSource,plasma processor,Diagnostic Device,Plasma Source
observed,usesDevice_Device_measures,electric field,Scientific Experiment,Quantity
chamber,usedIn_ResearchActivity_hasPlasmaSource,three -phase AC,Diagnostic Device,Plasma Source
cyclotron,usedIn_ResearchActivity_investigates,microwaves,Diagnostic Device,Physical Effect
Td,unit_of,impurity concentrations,Unit,Quantity
apparatus,usedIn_ResearchActivity_investigates,electron cyclotron resonance,Diagnostic Device,Physical Effect
chamber,usedToDiagnose_MaterialEntity_hasApplicationField,PECVD,Diagnostic Device,Application Field
atmospheric,hasApplicationField,plasma treatment of temperature sensitive particulate materials,Plasma Study,Application Field
chamber,usedIn_ResearchActivity_investigates,electron / cyclotron resonance effect,Diagnostic Device,Physical Effect
experimental results,hasPlasmaSource,microdischarges,Scientific Experiment,Plasma Source
energy dissipation,hasUnit,pC,Quantity,Unit
CVD reaction chamber,measures,temperature,Diagnostic Device,Quantity
striations,generatedBy_measures,E N,Plasma Study,Quantity
chambers,measures,electrical power,Diagnostic Device,Quantity
synchronise the measured voltage and current signals,usesDevice_Device_measures,time derivative,Scientific Experiment,Quantity
high -frequency,generatedBy_measures,output voltage,Plasma Study,Quantity
magnetic field generator,usedIn_ResearchActivity_hasPlasmaSource,columnar anisotropic segment magnets,Diagnostic Device,Plasma Source
intensity,hasUnit,nm,Quantity,Unit
chambers,usedIn_ResearchActivity_hasMedium,gas flow,Diagnostic Device,Medium
cm,unit_of,surface charges,Unit,Quantity
spatial and temporal resolutions,hasPlasmaSource,DBDs,Scientific Experiment,Plasma Source
pulsed,measures,ground energy levels,Plasma Source,Quantity
FPC,measures,UV lights,Diagnostic Device,Quantity
measurements of the discharge current,usesDevice_Device_measures,discharge current,Scientific Experiment,Quantity
ms,unit_of,duty cycle,Unit,Quantity
μs,unit_of,area,Unit,Quantity
ion beam,measures,magnetic field,Plasma Source,Quantity
DBDs,uses,O 2 content,Plasma Source,Medium
ICCD camera recordings,investigates,collective behavior,Scientific Experiment,Physical Effect
lowpressure,generatedBy_measures,-current,Plasma Study,Quantity
APTD,measures,electron density,Plasma Source,Quantity
kV,unit_of,Voltage,Unit,Quantity
diagnostic,measures,efficiency,Diagnostic Device,Quantity
electron density,hasUnit,microseconds,Quantity,Unit
measured,usesDevice_Device_measures,time scale,Scientific Experiment,Quantity
inductive coupling,measures,RF power,Plasma Source,Quantity
low pressure,uses,low pressure,Plasma Source,Medium
control device,measures,energy,Diagnostic Device,Quantity
energy emitter,measures,energy,Diagnostic Device,Quantity
microwave resonator,usedToDiagnose_MaterialEntity_hasApplicationField,semiconductor manufacturing,Diagnostic Device,Application Field
positive pulsed corona discharge,measures_hasUnit,vol,Plasma Source,Unit
chamber,usedIn_ResearchActivity_hasPlasmaSource,Microwave,Diagnostic Device,Plasma Source
stable filament position,generatedBy_measures,filament position,Plasma Study,Quantity
kV pp,unit_of,period,Unit,Quantity
antenna assembly,usedToDiagnose_MaterialEntity_hasApplicationField,plasma treatment process,Diagnostic Device,Application Field
nonthermal,generatedBy_measures,frequency,Plasma Study,Quantity
cyclotron,measures,induction field,Diagnostic Device,Quantity
np,usedToDiagnose_MaterialEntity_hasApplicationField,measuring values,Diagnostic Device,Application Field
Simultaneous streak and iCCD shots,hasMedium,O 2 in N 2,Scientific Experiment,Medium
intensified charge coupled device,usedIn_ResearchActivity_hasPlasmaSource,DBDs,Diagnostic Device,Plasma Source
nanosecond,unit_of,time scale,Unit,Quantity
kΩ,unit_of,resistors,Unit,Quantity
chambers,measures,frequency,Diagnostic Device,Quantity
APGD,measures,current density,Plasma Source,Quantity
ICCD camera,measures,discharge current,Diagnostic Device,Quantity
plasma generating space chamber,measures,magnetic field strength,Plasma Source,Quantity
first electrode,measures,converter,Plasma Source,Quantity
voltage,hasUnit,kV pp,Quantity,Unit
phase resolved,usesDevice_Device_measures,diameters,Scientific Experiment,Quantity
atmospheric pressure,uses,atmospheric pressure,Plasma Source,Medium
microdischarge,measures,atom concentrations,Plasma Source,Quantity
DBD,uses,gas,Plasma Source,Medium
burner,measures,efficiency,Diagnostic Device,Quantity
field emitter,measures,electric field,Diagnostic Device,Quantity
rectangular waveguide,usedIn_ResearchActivity_hasPlasmaSource,RF,Diagnostic Device,Plasma Source
ICCD images,hasPlasmaSource,DBDs,Scientific Experiment,Plasma Source
power supply,usedIn_ResearchActivity_hasMedium,pressurised gas,Diagnostic Device,Medium
nonthermal plasma,hasApplicationField,inactivation of viable microorganisms,Plasma Study,Application Field
coil,measures,field,Diagnostic Device,Quantity
electron density,hasUnit,kV cm 1,Quantity,Unit
observed,investigates,period multiplication,Scientific Experiment,Physical Effect
microwave oscillator,usedIn_ResearchActivity_hasPlasmaSource,plasma generating mechanism,Diagnostic Device,Plasma Source
cold plasma,uses,gas mixture,Plasma Source,Medium
optical measurements,hasMedium,oxygen content,Scientific Experiment,Medium
anode,measures,potentials,Diagnostic Device,Quantity
circuit,measures,power,Diagnostic Device,Quantity
laser firing,usesDevice_Device_measures,spatially averaged densities,Scientific Experiment,Quantity
displacement current,hasUnit,μs,Quantity,Unit
m,unit_of,filament radius,Unit,Quantity
high voltage probe,usedToDiagnose_MaterialEntity_hasApplicationField,ice detection,Diagnostic Device,Application Field
light source,measures,volume,Diagnostic Device,Quantity
electrode body,usedIn_ResearchActivity_hasPlasmaSource,ion beam,Diagnostic Device,Plasma Source
iCCD single shot,usesDevice_Device_measures,current peak,Scientific Experiment,Quantity
gas flow,used_in,plasma arc torch,Medium,Plasma Source
high particle density,generatedBy_measures,pressure,Plasma Study,Quantity
Q V plot,usesDevice_Device_measures,consumed electrical energy,Scientific Experiment,Quantity
experimental results,usesDevice_Device_measures,E n,Scientific Experiment,Quantity
iCCD images,usesDevice_Device_measures,Axial emission profiles,Scientific Experiment,Quantity
experimental results,usesConfiguration,plane parallel discharge cell,Scientific Experiment,Configuration
MHz range,unit_of,impedances,Unit,Quantity
reduced electric field,hasUnit,V cm 2,Quantity,Unit
barrier discharges,measures,ion density,Plasma Source,Quantity
relative permittivity,hasUnit,μS,Quantity,Unit
MΩ,unit_of,resistivity,Unit,Quantity
duration,hasUnit,ps,Quantity,Unit
MDs,measures,spatio temporal luminosity,Plasma Source,Quantity
iCCD images,usesDevice_Device_measures,diameter,Scientific Experiment,Quantity
vol,unit_of,time averaged charge,Unit,Quantity
BD,uses,gas mixture,Plasma Source,Medium
non -interceptive sensor,measures,current,Diagnostic Device,Quantity
RF,measures,potential,Plasma Source,Quantity
bar,unit_of,pressure,Unit,Quantity
residual electron density,hasUnit,cm 3,Quantity,Unit
iCCD images,usesDevice_Device_measures,pressure,Scientific Experiment,Quantity
of non -thermal,generatedBy_measures,temperature,Plasma Study,Quantity
combustion chamber,usedIn_ResearchActivity_investigates,ignition,Diagnostic Device,Physical Effect
magnetic field generator,usedIn_ResearchActivity_hasPlasmaSource,discharge,Diagnostic Device,Plasma Source
reactor,usedIn_ResearchActivity_hasPlasmaSource,inductive coupling,Diagnostic Device,Plasma Source
DBDs,measures,streamer velocities,Plasma Source,Quantity
process pump,usesDevice_Device_measures,pressure,Scientific Experiment,Quantity
μs,unit_of,voltage,Unit,Quantity
MD channel,generatedBy_measures,relative concentrations,Plasma Study,Quantity
superconductor,usedIn_ResearchActivity_hasMedium,vacuum,Diagnostic Device,Medium
pressure,hasUnit,ns,Quantity,Unit
kV pp,unit_of,emission,Unit,Quantity
floating electrode,measures,electric field,Plasma Source,Quantity
V Q Lissajous figure,usesDevice_Device_measures,current rise,Scientific Experiment,Quantity
high -frequency,measures,wavelength,Plasma Source,Quantity
streamer velocities,hasUnit,s,Quantity,Unit
velocities,hasUnit,V,Quantity,Unit
surface charges,hasUnit,m,Quantity,Unit
low frequency,measures,0.1 -100 mTorr,Plasma Source,Quantity
optical diagnostics,investigates,breakdown,Scientific Experiment,Physical Effect
reliable measurements,usesConfiguration,single filament,Scientific Experiment,Configuration
plasma accelerating portion,usedIn_ResearchActivity_hasPlasmaSource,plasma beam,Diagnostic Device,Plasma Source
observation area,usesDevice_Device_measures,surface charge,Scientific Experiment,Quantity
time scale,hasUnit,mJ,Quantity,Unit
mA,unit_of,HV amplitude,Unit,Quantity
parallel plate plasma processing apparatus,measures,plasma excitation frequency,Diagnostic Device,Quantity
waveguide appartus,measures,circular axisymmetric microwave field,Diagnostic Device,Quantity
mixtures of noble gases,used_in,DBDs,Medium,Plasma Source
velocity,hasUnit,µm,Quantity,Unit
RF power supply,usedIn_ResearchActivity_hasPlasmaSource,RF oscillator,Diagnostic Device,Plasma Source
laser photodetachment experiments,investigates,electron attachment,Scientific Experiment,Physical Effect
well shielded,usesConfiguration,grounded electrode,Scientific Experiment,Configuration
gas mixture,used_in,barrier discharges,Medium,Plasma Source
electric field,hasUnit,cm,Quantity,Unit
ICCD settings,hasPlasmaSource,APTD,Scientific Experiment,Plasma Source
illuminated semiconducting barrier,usesDevice_Device_measures,intensity,Scientific Experiment,Quantity
kW,unit_of,power densities,Unit,Quantity
Hamamatsu type H5773 06,measures,time scale,Diagnostic Device,Quantity
combustion chamber,measures,area,Diagnostic Device,Quantity
atmospheric pressure,measures,concentrations,Plasma Source,Quantity
gas density,hasUnit,m 3,Quantity,Unit
emitter of repetitive light pulses,hasConfiguration,electrode tips,Diagnostic Device,Configuration
electrical quantities,usesDevice_Device_measures,reduced electric field strength,Scientific Experiment,Quantity
high voltage pulse,hasUnit,ps,Quantity,Unit
Nikon PF10545MF UV,measures,resolution,Diagnostic Device,Quantity
mass flow controllers,usedIn_ResearchActivity_hasMedium,admixtures of oxygen,Diagnostic Device,Medium
flowing regime,hasMedium,purity 99 999,Scientific Experiment,Medium
barrier discharges,measures,surface charges,Plasma Source,Quantity
m s 1,unit_of,time,Unit,Quantity
pure gases,used_in,BD,Medium,Plasma Source
kVpp,unit_of,current peaks,Unit,Quantity
two power supplies,usedIn_ResearchActivity_hasPlasmaSource,high frequency,Diagnostic Device,Plasma Source
high -efficiency,measures,energy,Plasma Source,Quantity
accelerator,usedIn_ResearchActivity_hasPlasmaSource,high -frequency,Diagnostic Device,Plasma Source
