mention_id,sentence_id,paper_id,paper_title,doi,text,ner_label,schema_type,token_start,token_end
paper_001:s0001:m011,paper_001:s0001,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,pulsed,PowerSupply,,14,14
paper_001:s0001:m012,paper_001:s0001,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 O,Species,,4,6
paper_001:s0001:m013,paper_001:s0001,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2,Species,,20,21
paper_001:s0002:m001,paper_001:s0002,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 O,ElectrodeMaterial,,1,3
paper_001:s0002:m002,paper_001:s0002,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2,ElectrodeMaterial,,7,8
paper_001:s0002:m003,paper_001:s0002,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,2 O,ElectrodeMaterial,,10,11
paper_001:s0002:m004,paper_001:s0002,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2,ElectrodeMaterial,,19,20
paper_001:s0002:m005,paper_001:s0002,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 O.,ElectrodeMaterial,,24,26
paper_001:s0002:m006,paper_001:s0002,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 O concentration,PhysicalQuantity,Quantity,1,4
paper_001:s0002:m007,paper_001:s0002,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,2 O gas mixture,PlasmaMedium,Medium,10,13
paper_001:s0002:m008,paper_001:s0002,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,virtually pure N 2,PlasmaMedium,Medium,17,20
paper_001:s0002:m009,paper_001:s0002,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2,PlasmaMedium,Medium,24,25
paper_001:s0002:m010,paper_001:s0002,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,vol%,Unit,Unit,23,23
paper_001:s0002:m011,paper_001:s0002,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 O,Species,,1,3
paper_001:s0002:m012,paper_001:s0002,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2,Species,,7,8
paper_001:s0002:m013,paper_001:s0002,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,2 O,Species,,10,11
paper_001:s0002:m014,paper_001:s0002,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2,Species,,19,20
paper_001:s0002:m015,paper_001:s0002,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 O.,Species,,24,26
paper_001:s0003:m001,paper_001:s0003,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 O,ElectrodeMaterial,,4,6
paper_001:s0003:m002,paper_001:s0003,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N,PhysicalQuantity,Quantity,4,4
paper_001:s0003:m003,paper_001:s0003,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,concentrations,PhysicalQuantity,Quantity,14,14
paper_001:s0003:m004,paper_001:s0003,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 O,PlasmaMedium,Medium,4,6
paper_001:s0003:m005,paper_001:s0003,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,discharge characteristics,PlasmaProperties,Property,9,10
paper_001:s0003:m006,paper_001:s0003,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,ppm.,Unit,Unit,17,17
paper_001:s0003:m007,paper_001:s0003,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 O,Species,,4,6
paper_001:s0004:m001,paper_001:s0004,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,streamer),DischargeRegime,,31,31
paper_001:s0004:m002,paper_001:s0004,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,observed.,Experiment,Scientific Experiment,33,33
paper_001:s0004:m003,paper_001:s0004,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,cathode-directed ionisation front,PhysicalEffect,Physical Effect,27,29
paper_001:s0004:m004,paper_001:s0004,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,streamer),PhysicalEffect,Physical Effect,31,31
paper_001:s0004:m005,paper_001:s0004,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"transferred charge,",PhysicalQuantity,Quantity,6,7
paper_001:s0004:m006,paper_001:s0004,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,discharge energy,PhysicalQuantity,Quantity,9,10
paper_001:s0004:m007,paper_001:s0004,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"breakdown voltage,",PhysicalQuantity,Quantity,15,16
paper_001:s0004:m008,paper_001:s0004,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"discharge current,",PhysicalQuantity,Quantity,18,19
paper_001:s0004:m009,paper_001:s0004,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,discharge emission diameter,PhysicalQuantity,Quantity,20,22
paper_001:s0004:m010,paper_001:s0004,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,velocity,PhysicalQuantity,Quantity,24,24
paper_001:s0004:m011,paper_001:s0004,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"discharge current,",PlasmaSource,Plasma Source,18,19
paper_001:s0005:m001,paper_001:s0005,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 O,ElectrodeMaterial,,22,24
paper_001:s0005:m002,paper_001:s0005,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,discharge inception jitter,PhysicalEffect,Physical Effect,8,10
paper_001:s0005:m003,paper_001:s0005,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,breakdown voltage,PhysicalQuantity,Quantity,5,6
paper_001:s0005:m004,paper_001:s0005,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,emission duration,PhysicalQuantity,Quantity,17,18
paper_001:s0005:m005,paper_001:s0005,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 O concentrations,PhysicalQuantity,Quantity,22,25
paper_001:s0005:m006,paper_001:s0005,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,vol%.,Unit,Unit,28,28
paper_001:s0005:m007,paper_001:s0005,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 O,Species,,22,24
paper_001:s0006:m001,paper_001:s0006,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,regime,DischargeRegime,,21,21
paper_001:s0006:m002,paper_001:s0006,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 O,ElectrodeMaterial,,6,8
paper_001:s0006:m003,paper_001:s0006,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,modelling results,Modelling,Scientific Study,1,2
paper_001:s0006:m004,paper_001:s0006,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,transition,PhysicalEffect,Physical Effect,14,14
paper_001:s0006:m005,paper_001:s0006,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,electropositive,PhysicalEffect,Physical Effect,17,17
paper_001:s0006:m006,paper_001:s0006,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,electronegative,PhysicalEffect,Physical Effect,20,20
paper_001:s0006:m007,paper_001:s0006,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 O concentrations,PhysicalQuantity,Quantity,6,9
paper_001:s0006:m008,paper_001:s0006,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N,PlasmaMedium,Medium,6,6
paper_001:s0006:m009,paper_001:s0006,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 O,Species,,6,8
paper_001:s0007:m001,paper_001:s0007,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,dielectric barrier,ElectrodeConfiguration,Configuration,5,6
paper_001:s0007:m002,paper_001:s0007,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"discharge configuration,",ElectrodeConfiguration,Configuration,16,17
paper_001:s0007:m003,paper_001:s0007,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,dielectric,ElectrodeMaterial,,5,5
paper_001:s0007:m004,paper_001:s0007,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,gas composition,PlasmaApplication,Application Field,18,19
paper_001:s0007:m005,paper_001:s0007,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,electric control,PlasmaApplication,Application Field,21,22
paper_001:s0007:m006,paper_001:s0007,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,gas composition,PlasmaMedium,Medium,18,19
paper_001:s0007:m007,paper_001:s0007,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,Morphology,PlasmaProperties,Property,1,1
paper_001:s0007:m008,paper_001:s0007,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,dielectric barrier discharges,PlasmaSource,Plasma Source,5,7
paper_001:s0007:m009,paper_001:s0007,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,electric control,PowerSupply,,21,22
paper_001:s0008:m001,paper_001:s0008,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"discharge regimes,",DischargeRegime,,3,4
paper_001:s0008:m002,paper_001:s0008,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,filamentary,DischargeRegime,,6,6
paper_001:s0008:m003,paper_001:s0008,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,diffuse,DischargeRegime,,8,8
paper_001:s0008:m004,paper_001:s0008,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,uniform),DischargeRegime,,10,10
paper_001:s0008:m005,paper_001:s0008,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,uniform),PlasmaProperties,Property,10,10
paper_001:s0008:m006,paper_001:s0008,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,discharge,PlasmaSource,Plasma Source,3,3
paper_001:s0009:m001,paper_001:s0009,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"filamentation,",DischargeRegime,,1,1
paper_001:s0009:m002,paper_001:s0009,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"filamentation,",PhysicalEffect,Physical Effect,1,1
paper_001:s0009:m003,paper_001:s0009,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"filamentation,",PhysicalQuantity,Quantity,1,1
paper_001:s0010:m001,paper_001:s0010,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"constricted discharge channels,",DischargeRegime,,3,5
paper_001:s0010:m002,paper_001:s0010,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,diffuse,DischargeRegime,,9,9
paper_001:s0010:m003,paper_001:s0010,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"discharge channels,",ElectrodeConfiguration,Configuration,4,5
paper_001:s0010:m004,paper_001:s0010,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,homogeneous surface treatment,Modelling,Scientific Study,14,16
paper_001:s0010:m005,paper_001:s0010,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"discharge channels,",PhysicalEffect,Physical Effect,4,5
paper_001:s0010:m006,paper_001:s0010,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"pressure,",PhysicalQuantity,Quantity,19,19
paper_001:s0010:m007,paper_001:s0010,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,homogeneous,PlasmaApplication,Application Field,14,14
paper_001:s0010:m008,paper_001:s0010,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,surface treatment,PlasmaApplication,Application Field,15,16
paper_001:s0010:m009,paper_001:s0010,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"atmospheric pressure,",PlasmaMedium,Medium,18,19
paper_001:s0010:m010,paper_001:s0010,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"atmospheric pressure,",PlasmaProperties,Property,18,19
paper_001:s0010:m011,paper_001:s0010,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,DBD,PlasmaSource,Plasma Source,10,10
paper_001:s0010:m012,paper_001:s0010,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,homogeneous,PlasmaTarget,Target,14,14
paper_001:s0010:m013,paper_001:s0010,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,surface,PlasmaTarget,Target,15,15
paper_001:s0011:m001,paper_001:s0011,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,vacuum equipment,DiagnosticDevice,Diagnostic Device,2,3
paper_001:s0011:m002,paper_001:s0011,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,equipment,ElectrodeConfiguration,Configuration,3,3
paper_001:s0011:m003,paper_001:s0011,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,vacuum equipment,Experiment,Scientific Experiment,2,3
paper_001:s0011:m004,paper_001:s0011,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,vacuum equipment,Modelling,Scientific Study,2,3
paper_001:s0011:m005,paper_001:s0011,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,vacuum,PlasmaApplication,Application Field,2,2
paper_001:s0011:m006,paper_001:s0011,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,vacuum,PlasmaMedium,Medium,2,2
paper_001:s0011:m007,paper_001:s0011,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,vacuum equipment,PlasmaSource,Plasma Source,2,3
paper_001:s0011:m008,paper_001:s0011,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,costly,PowerSupply,,1,1
paper_001:s0011:m009,paper_001:s0011,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,vacuum equipment,PowerSupply,,2,3
paper_001:s0012:m001,paper_001:s0012,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,dielectric barriers,ElectrodeConfiguration,Configuration,14,15
paper_001:s0012:m002,paper_001:s0012,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,dielectric barriers,ElectrodeMaterial,,14,15
paper_001:s0012:m003,paper_001:s0012,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,pre-ionisation,PhysicalEffect,Physical Effect,7,7
paper_001:s0012:m004,paper_001:s0012,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,charge,PhysicalQuantity,Quantity,9,9
paper_001:s0012:m005,paper_001:s0012,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,charge,PlasmaMedium,Medium,9,9
paper_001:s0012:m006,paper_001:s0012,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,dielectric,PlasmaSource,Plasma Source,14,14
paper_001:s0012:m007,paper_001:s0012,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,charge carrier,PowerSupply,,9,10
paper_001:s0012:m008,paper_001:s0012,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,charge carrier,Species,,9,10
paper_001:s0013:m001,paper_001:s0013,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,filamentary regime,DischargeRegime,,12,13
paper_001:s0013:m002,paper_001:s0013,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,filamentary,ElectrodeConfiguration,Configuration,12,12
paper_001:s0013:m003,paper_001:s0013,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,pre-ionisation,PhysicalEffect,Physical Effect,1,1
paper_001:s0013:m004,paper_001:s0013,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,development,PlasmaProperties,Property,5,5
paper_001:s0013:m005,paper_001:s0013,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,of DBDs,PlasmaProperties,Property,8,9
paper_001:s0013:m006,paper_001:s0013,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,DBDs,PlasmaSource,Plasma Source,9,9
paper_001:s0013:m007,paper_001:s0013,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,DBDs,PlasmaTarget,Target,9,9
paper_001:s0014:m001,paper_001:s0014,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,single-filament arrangement,ElectrodeConfiguration,Configuration,45,46
paper_001:s0014:m002,paper_001:s0014,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,O 2,ElectrodeMaterial,,12,13
paper_001:s0014:m003,paper_001:s0014,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,pre-ionisation,PhysicalEffect,Physical Effect,20,20
paper_001:s0014:m004,paper_001:s0014,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,discharge duration,PhysicalEffect,Physical Effect,41,42
paper_001:s0014:m005,paper_001:s0014,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"breakdown voltage,",PhysicalQuantity,Quantity,36,37
paper_001:s0014:m006,paper_001:s0014,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,streamer velocity,PhysicalQuantity,Quantity,38,39
paper_001:s0014:m007,paper_001:s0014,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,duration,PhysicalQuantity,Quantity,42,42
paper_001:s0014:m008,paper_001:s0014,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 -O 2 gas mixtures,PlasmaMedium,Medium,27,32
paper_001:s0014:m009,paper_001:s0014,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,DBDs,PlasmaSource,Plasma Source,24,24
