paper_id,title,doi,citation,text_path,bio_path
paper_011,On the spatio-temporal development of pulsed barrier discharges - influence of duty cycle variation,10.1088/0022-3727/45/24/245201,"Kettlitz M, Höft H, Hoder T, Reuter S, Weltmann K-D, Brandenburg R (2012). On the spatio-temporal development of pulsed barrier discharges - influence of duty cycle variation. Journal of Physics D: Applied Physics. https://doi.org/10.1088/0022-3727/45/24/245201",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/On the spatio-temporal development of pulsed barrier discharges - influence of duty cycle variation.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/On the spatio-temporal development of pulsed barrier discharges - influence of duty cycle variation.txt
paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,"Höft H, Becker M M, Kettlitz M, Brandenburg R (2022). Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation. Journal of Physics D: Applied Physics. https://doi.org/10.1088/1361-6463/ac868b",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation.txt
paper_013,The influence of negative ions in helium–oxygen barrier discharges II. 1D fluid simulation and adaption to the experiment,10.1088/0963-0252/25/5/055024,"Nemschokmichal Sebastian, Tschiersch Robert, Meichsner Jürgen (2016). The influence of negative ions in helium–oxygen barrier discharges II. 1D fluid simulation and adaption to the experiment. Plasma Sources Science and Technology. https://doi.org/10.1088/0963-0252/25/5/055024",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/The influence of negative ions in helium–oxygen barrier discharges II. 1D fluid simulation and adaption to the experiment.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/The influence of negative ions in helium–oxygen barrier discharges II. 1D fluid simulation and adaption to the experiment.txt
paper_014,The role of a dielectric barrier in single-filament discharge over a water surface,10.1063/5.0035186,"Höft H., Kettlitz M., Brandenburg R. (2021). The role of a dielectric barrier in single-filament discharge over a water surface. Journal of Applied Physics. https://doi.org/10.1063/5.0035186",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/The role of a dielectric barrier in single-filament discharge over a water surface.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/The role of a dielectric barrier in single-filament discharge over a water surface.txt
paper_015,Effect of a high-voltage mesh electrode on the volume and surface characteristics of pulsed dielectric barrier discharges,10.1063/5.0032342,"Kettlitz M., van Rooij O., Höft H., Brandenburg R., Sobota A. (2020). Effect of a high-voltage mesh electrode on the volume and surface characteristics of pulsed dielectric barrier discharges. Journal of Applied Physics. https://doi.org/10.1063/5.0032342",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Effect of a high-voltage mesh electrode on the volume and surface characteristics of pulsed dielectric barrier discharges.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Effect of a high-voltage mesh electrode on the volume and surface characteristics of pulsed dielectric barrier discharges.txt
paper_016,Axial and radial development of microdischarges of barrier discharges in N2 O2 mixtures at atmospheric pressure,10.1088/0022-3727/38/11/003,"Brandenburg R, Wagner H-E, Morozov A M, Kozlov K V (2005). Axial and radial development of microdischarges of barrier discharges in N2 O2 mixtures at atmospheric pressure. Journal of Physics D: Applied Physics. https://doi.org/10.1088/0022-3727/38/11/003",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Axial and radial development of microdischarges of barrier discharges in N2 _O2 mixtures at atmospheric pressure.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Axial and radial development of microdischarges of barrier discharges in N2 _O2 mixtures at atmospheric pressure.txt
paper_017,Impact of volume and surface processes on the pre-ionization of DBDs - advanced diagnostics and fluid modeling,10.1140/epjd/e2017-80369-1,"Nemschokmichal Sebastian, Tschiersch Robert, Höft Hans, Wild Robert, Bogaczyk Marc, Becker Markus M., Loffhagen Detlef, Stollenwerk Lars, Kettlitz Manfred, Brandenburg Ronny, Meichsner Jürgen (2018). Impact of volume and surface processes on the pre-ionization of DBDs - advanced diagnostics and fluid modeling. The European Physical Journal D. https://doi.org/10.1140/epjd/e2017-80369-1",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Impact of volume and surface processes on the pre-ionization of DBDs - advanced diagnostics and fluid modeling.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Impact of volume and surface processes on the pre-ionization of DBDs - advanced diagnostics and fluid modeling.txt
paper_018,"DBDs Their history, discharge physics, and industrial applications",10.1023/a:1022470901385,"Kogelschatz Ulrich (2003). DBDs Their history, discharge physics, and industrial applications. Plasma Chemistry and Plasma Processing. https://doi.org/10.1023/a:1022470901385","/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/DBDs Their history, discharge physikcs, and industrial applications.txt","/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/DBDs Their history, discharge physikcs, and industrial applications.txt"
paper_019,Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections,10.1109/tps.2014.2309595,"Hoft Hans, Huiskamp Tom, Kettlitz Manfred, Pemen A. J. M. (2014). Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections. IEEE Transactions on Plasma Science. https://doi.org/10.1109/tps.2014.2309595",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections.txt
paper_020,Breakdown characteristics in pulsed-driven dielectric barrier discharges- influence of the prebreakdown phase due to volume memory effects,10.1088/0022-3727/47/46/465206,"Höft H, Kettlitz M, Becker M M, Hoder T, Loffhagen D, Brandenburg R, Weltmann K-D (2014). Breakdown characteristics in pulsed-driven dielectric barrier discharges- influence of the prebreakdown phase due to volume memory effects. Journal of Physics D: Applied Physics. https://doi.org/10.1088/0022-3727/47/46/465206",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Breakdown characteristics in pulsed-driven dielectric barrier discharges- influence of the prebreakdown phase due to volume memory effects.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Breakdown characteristics in pulsed-driven dielectric barrier discharges- influence of the prebreakdown phase due to volume memory effects.txt
paper_021,Impact of gas flow rate on breakdown of filamentary dielectric barrier discharges,10.1063/1.4943278,"Höft H., Becker M. M., Kettlitz M. (2016). Impact of gas flow rate on breakdown of filamentary dielectric barrier discharges. Physics of Plasmas. https://doi.org/10.1063/1.4943278",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Impact of gas flow rate on breakdown of filamentary dielectric barrier discharges.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Impact of gas flow rate on breakdown of filamentary dielectric barrier discharges.txt
paper_022,Diffuse barrier discharges in N2 with small admixtures of N2 - discharge mechanism and transition to the filamentary regime,10.1088/0022-3727/38/13/017,"Brandenburg R, Maiorov V A, Golubovskii Yu B, Wagner H-E, Behnke J, Behnke J F (2005). Diffuse barrier discharges in N2 with small admixtures of N2 - discharge mechanism and transition to the filamentary regime. Journal of Physics D: Applied Physics. https://doi.org/10.1088/0022-3727/38/13/017",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Diffuse barrier discharges in N2 with small admixtures of N2 - discharge mechanism and transition to the filamentary regime.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Diffuse barrier discharges in N2 with small admixtures of N2 - discharge mechanism and transition to the filamentary regime.txt
paper_023,Formation mechanisms of striations in a filamentary dielectric barrier discharge in atmospheric,10.1088/1361-6595/acd2fc,"Jovanović Aleksandar P, Hoder Tomáš, Höft Hans, Loffhagen Detlef, Becker Markus M (2023). Formation mechanisms of striations in a filamentary dielectric barrier discharge in atmospheric. Plasma Sources Science and Technology. https://doi.org/10.1088/1361-6595/acd2fc",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Formation mechanisms of striations in a filamentary dielectric barrier discharge in atmospheric.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Formation mechanisms of striations in a filamentary dielectric barrier discharge in atmospheric.txt
paper_024,Impact of the electrode proximity on the streamer breakdown and development of pulsed dielectric barrier discharges,10.1088/1361-6595/ac511f,"Wubs J R, Höft H, Kettlitz M, Becker M M, Weltmann K-D (2022). Impact of the electrode proximity on the streamer breakdown and development of pulsed dielectric barrier discharges. Plasma Sources Science and Technology. https://doi.org/10.1088/1361-6595/ac511f",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Impact of the electrode proximity on the streamer breakdown and development of pulsed dielectric barrier discharges.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Impact of the electrode proximity on the streamer breakdown and development of pulsed dielectric barrier discharges.txt
paper_025,Influence of residual charge on repetitively nanosecond pulsed DBDs in atmospheric air,10.1063/1.4986390,"Liu Yidi, Yan Huijie, Fan Zhihui, Guo Hongfei, Ren Chunsheng (2017). Influence of residual charge on repetitively nanosecond pulsed DBDs in atmospheric air. Physics of Plasmas. https://doi.org/10.1063/1.4986390",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Influence of residual charge on repetitivelynanosecond pulsed DBDs in atmospheric air.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Influence of residual charge on repetitivelynanosecond pulsed DBDs in atmospheric air.txt
paper_026,Surface charge measurements on different dielectrics in diffuse and filamentary barrier discharges,10.1088/1361-6463/aa5605,"Tschiersch R, Nemschokmichal S, Bogaczyk M, Meichsner J (2017). Surface charge measurements on different dielectrics in diffuse and filamentary barrier discharges. Journal of Physics D: Applied Physics. https://doi.org/10.1088/1361-6463/aa5605",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Surface charge measurements on different dielectrics in diffuse and filamentary barrier discharges.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Surface charge measurements on different dielectrics in diffuse and filamentary barrier discharges.txt
paper_027,Streamer-surface interaction in an atmospheric pressure dielectric barrier discharge in argon,10.1088/1361-6595/ac63df,"Jovanović Aleksandar P, Loffhagen Detlef, Becker Markus M (2022). Streamer-surface interaction in an atmospheric pressure dielectric barrier discharge in argon. Plasma Sources Science and Technology. https://doi.org/10.1088/1361-6595/ac63df",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Streamer–surface interaction in an atmospheric pressure dielectric barrier discharge in argon.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Streamer–surface interaction in an atmospheric pressure dielectric barrier discharge in argon.txt
paper_028,Discharge propagation on a dielectric surface in a single-filament arrangement,10.1140/epjd/e2020-10082-y,"Kettlitz Manfred, Klink Rouven, Höft Hans, Brandenburg Ronny (2020). Discharge propagation on a dielectric surface in a single-filament arrangement. The European Physical Journal D. https://doi.org/10.1140/epjd/e2020-10082-y",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Discharge propagation on a dielectric surface in a single-filament arrangement.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Discharge propagation on a dielectric surface in a single-filament arrangement.txt
paper_029,Fluid modelling of CO2 dissociation in a dielectric barrier discharge,10.1063/1.4941530,"Ponduri S., Becker M. M., Welzel S., van de Sanden M. C. M., Loffhagen D., Engeln R. (2016). Fluid modelling of CO2 dissociation in a dielectric barrier discharge. Journal of Applied Physics. https://doi.org/10.1063/1.4941530",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Fluid modelling of CO2 dissociation in a dielectric barrier discharge.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Fluid modelling of CO2 dissociation in a dielectric barrier discharge.txt
paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,"Becker M M, Hoder T, Brandenburg R, Loffhagen D (2013). Analysis of microdischarges in asymmetric dielectric barrier discharges in argon. Journal of Physics D: Applied Physics. https://doi.org/10.1088/0022-3727/46/35/355203",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Analysis of microdischarges in asymmetric dielectric barrier discharges in argon.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Analysis of microdischarges in asymmetric dielectric barrier discharges in argon.txt
paper_031,Exploring the mechanisms leading to diffuse and filamentary modes in dielectric barrier discharges in N2 with N2O admixtures,10.1140/epjd/s10053-023-00601-z,"Höft Hans, Becker Markus M., Kettlitz Manfred, Dap Simon, Naudé Nicolas, Brandenburg Ronny, Weltmann Klaus-Dieter (2023). Exploring the mechanisms leading to diffuse and filamentary modes in dielectric barrier discharges in N2 with N2O admixtures. The European Physical Journal D. https://doi.org/10.1140/epjd/s10053-023-00601-z",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Exploring the mechanisms leading to diffuse and filamentary modes in dielectric barrier discharges in N2 with N2O admixtures.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Exploring the mechanisms leading to diffuse and filamentary modes in dielectric barrier discharges in N2 with N2O admixtures.txt
